,Sentences,Perplexities (ckpt 773),Perplexities (ckpt 1546),Perplexities (ckpt 2319),Perplexities (ckpt 3092),Perplexities (ckpt 3865),Perplexities (ckpt 4638),Perplexities (ckpt 5411),Perplexities (ckpt 6184),Perplexities (ckpt 6957),Perplexities (ckpt 7730)
18,"İsa onlara, ‹‹Karısını boşayıp başkasıyla evlenen, karısına karşı zina etmiş olur›› dedi.",460.8028869628906,287.7984924316406,250.30514526367188,228.99575805664062,170.75091552734375,160.5959014892578,163.34690856933594,110.6693344116211,119.71127319335938,127.81831359863281
19,Son birkaç yılımı insan motivasyonu bilimini incelemeye ayırdım. Özellikle de dışsal ve içsel motive edicileri incelemeye.,2439.781982421875,1274.1248779296875,1308.169921875,800.920654296875,746.6754760742188,671.1973266601562,495.101806640625,443.7841796875,413.04449462890625,368.2122497558594
20,"Birkaç hafta önce, Ben evangelize her müminin sorumluluk Kampüs Outreach Ulusal Konferansında konuştu. Benim metin oldu 2 Corinthians 5:18-21. İşte o oturumdaki bir video.",1205.3226318359375,1020.0535278320312,737.1756591796875,715.8721313476562,551.0953369140625,513.9760131835938,364.6907653808594,352.5953674316406,288.39483642578125,292.3936462402344
21,Neden koruyacakmışım?,919.947021484375,433.4328308105469,217.5983428955078,244.92237854003906,411.3282470703125,508.2169189453125,421.4150390625,269.62176513671875,399.2337951660156,284.1819763183594
22,"Eğer bunu kabul etmek isterseniz, gelecek olan İlyas odur.",188.0083770751953,161.98394775390625,126.06807708740234,99.60686492919922,115.28990936279297,92.89309692382812,100.57389831542969,96.15994262695312,102.95187377929688,103.4208755493164
23,Bu ne demek?,49.674659729003906,25.95062255859375,37.70381164550781,31.842391967773438,20.658405303955078,33.08195877075195,22.42555046081543,14.61337947845459,17.112667083740234,16.924415588378906
24,Ne diyorsun?,36.7808723449707,23.730737686157227,20.458024978637695,25.19312286376953,22.360248565673828,32.28916549682617,24.500850677490234,34.26670455932617,38.21897888183594,33.65830612182617
25,Bırak onları.,532.4830932617188,432.6722717285156,349.28955078125,132.59646606445312,92.64900207519531,68.69351196289062,80.34172821044922,66.93509674072266,66.13716888427734,63.933841705322266
26,"Bir kaç yıl önce, laboratuvarımda kendi deneylerimi yapıyordum.",389.240966796875,260.4755554199219,195.2151336669922,193.41842651367188,139.64894104003906,119.57617950439453,104.5982666015625,97.36458587646484,86.49638366699219,78.75028991699219
27,"Dünyayı daha iyi bir yer haline nasıl getirebileceğimizi düşünürken eğitimi düşünürüz, ona oldukça fazla para harcariz.",555.071044921875,439.5062255859375,328.92108154296875,300.91766357421875,231.9733123779297,209.60821533203125,231.83642578125,197.91184997558594,186.60897827148438,173.7625274658203
28,Bizi takip edin,114.05024719238281,239.34425354003906,202.2674560546875,115.67079162597656,64.72412872314453,75.46939086914062,49.89243698120117,66.42288208007812,55.63479995727539,48.1138801574707
29,5 Avrupa'da En İyi Alışveriş Outlets,413.786865234375,226.68612670898438,182.59024047851562,117.57170867919922,102.03998565673828,91.83358001708984,67.31195068359375,62.475929260253906,59.4221305847168,62.44572830200195
30,Calverton Poligonu'na vardığımızda FBI'nın bizim grubu izlediğini bilmiyorduk.,1358.5650634765625,669.4170532226562,499.6542053222656,515.3090209960938,444.18389892578125,497.23016357421875,360.5979309082031,348.1817321777344,299.4854736328125,326.31658935546875
31,"Ona ihanet edecek olan Yahuda, ‹‹Rabbî, yoksa beni mi demek istedin?›› diye sordu. İsa ona, ‹‹Söylediğin gibidir›› karşılığını verdi.",221.8143310546875,159.20419311523438,107.87401580810547,106.61917877197266,108.16095733642578,89.3803482055664,93.12020874023438,85.75020599365234,87.80204772949219,83.45140075683594
32,Kimse on yaşındayken icra takibi ve şirket alımları için avukat olmayı düşlemez.,3037.77001953125,3513.780517578125,2215.027587890625,2706.5693359375,2243.534912109375,2277.89501953125,2088.498779296875,2156.938232421875,1842.0665283203125,1538.0133056640625
33,"Kötü ruhlar İsaya, ‹‹Bizi şu domuzlara gönder, onlara girelim›› diye yalvardılar.",542.6911010742188,339.884765625,274.81103515625,241.6776123046875,272.2969055175781,169.26596069335938,204.93833923339844,159.14596557617188,134.3316192626953,137.1213836669922
34,"Ama vay halinize, ey zenginler, Çünkü tesellinizi almış bulunuyorsunuz!",1269.314453125,758.4805297851562,590.1934204101562,573.8255615234375,531.9542236328125,444.2461853027344,407.0179443359375,408.020263671875,339.6932373046875,359.27581787109375
35,"Her şeyi yiyen, yemeyeni hor görmesin. Her şeyi yemeyen, yiyeni yargılamasın. Çünkü Tanrı onu kabul etmiştir.",802.22705078125,453.979248046875,285.01904296875,341.5005187988281,288.5399475097656,278.68316650390625,327.89208984375,315.1199951171875,310.1583251953125,298.2506103515625
36,"Bilmiyorum, efendim.",86.35494995117188,89.99906158447266,38.920753479003906,34.33424758911133,48.024898529052734,36.27970504760742,28.687679290771484,26.926279067993164,30.083955764770508,27.876394271850586
37,"Onlar, Mesihin acı çekeceğini ve ölümden dirilenlerin ilki olarak gerek kendi halkına, gerek öteki uluslara ışığın doğuşunu ilan edeceğini bildirmişlerdi.››",3563.852783203125,2081.61767578125,1711.026123046875,1482.617919921875,1431.1845703125,1188.9658203125,1370.6953125,1175.8953857421875,1103.6094970703125,1111.009033203125
38,"Bunu çözmek için sizinle paylaşacağım üç öneri var. Yaklaşık üç dakikam var,yani tam olacak.",792.8775024414062,489.7055358886719,461.27178955078125,267.2005310058594,241.87393188476562,190.9236297607422,160.32742309570312,163.2987060546875,172.71450805664062,170.85997009277344
39,İlk _ Önceki _ 1 2 3 ... 10 _ Sonraki _ Son,171.59799194335938,279.7259826660156,219.34190368652344,190.9105224609375,58.73709487915039,46.59682846069336,16.490806579589844,15.66203784942627,8.974884986877441,7.284977436065674
40,Ben bir günahkarım.,234.68714904785156,295.4309387207031,204.49154663085938,94.50093841552734,106.86363983154297,75.16526794433594,74.75076293945312,94.83673858642578,60.922725677490234,64.31121063232422
41,"Kutsal Yasayla övünürken, Yasaya karşı gelerek Tanrıyı aşağılar mısın?",1983.718994140625,1060.811767578125,518.509521484375,652.9298095703125,439.0489807128906,380.45379638671875,310.9329528808594,410.0551452636719,363.3794860839844,350.31787109375
42,"Tapınağın dış avlusunu bırak, orayı ölçme. Çünkü orası, kutsal kenti kırk iki ay ayaklarıyla çiğneyecek olan uluslara verildi.",1259.325927734375,658.4268188476562,596.6935424804688,642.6660766601562,464.234130859375,416.64825439453125,467.09783935546875,430.5105895996094,401.48095703125,380.8086242675781
43,Hayat devam ediyor.,186.9657745361328,224.0370330810547,87.87278747558594,82.51346588134766,55.19142150878906,41.184329986572266,41.87897491455078,40.541664123535156,28.286619186401367,32.070098876953125
44,- Buradan gitmek ister misin?,44.72779083251953,38.22333526611328,24.548904418945312,17.761716842651367,16.96048355102539,16.537364959716797,17.52372932434082,14.903520584106445,16.10457420349121,16.0443115234375
45,Sonra oturup yanında nöbet tuttular.,1113.405029296875,641.234130859375,1337.7396240234375,548.0463256835938,649.21923828125,708.6273193359375,586.904541015625,679.9338989257812,635.8130493164062,737.3531494140625
46,Ama başbakan tek bir gerçeği söyledi.,266.4903869628906,235.935546875,404.76702880859375,237.35520935058594,316.13861083984375,280.4778137207031,329.17230224609375,280.9349060058594,326.2268371582031,289.6380310058594
47,"Windows XP kullanıyorsanız, BURAYA TIKLA RescuePro® Standart veya bir XP uyumlu kopya için BURAYA TIKLA RescuePro® Deluxe bir XP uyumlu kopya için.",5439.6552734375,6255.41259765625,464.174560546875,583.5255126953125,127.24655151367188,280.0306701660156,174.6109619140625,84.36165618896484,96.07052612304688,93.24092864990234
48,"Neden? Çünkü işten çıkarılmak, hem işçiler için, hem de toplum için bir felaket olacaktı.",413.9112243652344,283.03155517578125,237.90736389160156,245.8187255859375,236.57070922851562,177.67337036132812,175.23211669921875,150.438232421875,136.12457275390625,124.10729217529297
49,"AESUK başlamamıştır, ve niyeti yoktu ya görmek istenen, herhangi tahkim davası. o tahkim islemler getirmelidir - Onun konumu JSC sürdürmeye ya da yargılanmasına her sürdürmeye serbest olmaması gerektiğini oldu, AESUK bu yargılamaları savunacağı.",2038.4986572265625,2317.548583984375,2001.9561767578125,2391.5498046875,2162.062255859375,2398.386962890625,2236.2666015625,1902.33984375,1779.177978515625,1885.193359375
50,Ve bu da bence umut verici birşey.,204.22805786132812,133.85986328125,94.67511749267578,66.00261688232422,52.35541915893555,83.1873550415039,62.99629211425781,57.58311080932617,59.241153717041016,55.79579544067383
51,"5 yıl önce, bir motorsiklet kazasına müdahele ettim.",1029.709228515625,628.3507690429688,287.90142822265625,179.3192901611328,144.77000427246094,117.92969512939453,113.47328186035156,94.25265502929688,61.90611267089844,62.582820892333984
52,"(Gülüşmeler) Şu geldi -- ve sanki ben, bu ... -- ve ben, ben ....",480.90313720703125,261.9024658203125,222.5953369140625,179.0758514404297,181.89407348632812,216.30963134765625,166.54592895507812,155.9010467529297,155.38095092773438,163.0124053955078
53,"""Bebeğim,"" diyeceğim ona ""unutma, annen bir savaşçıydı, baban da bir savaşçı, ve sen de minicik ellerin ve koca gözlerinle daha fazlasını isteyen bir kızsın.""",938.7213134765625,761.42919921875,476.20263671875,354.596435546875,394.190673828125,319.6826477050781,275.6539611816406,249.61871337890625,249.9957275390625,244.88441467285156
54,ve images.we sizin gibi tatlı ziyaretçiler için spacially görüntüleri toplayın kaliteli hd pictures.with.,7780.6298828125,3692.978515625,1789.2486572265625,2847.79931640625,1951.7633056640625,2813.306396484375,2277.675537109375,2053.283203125,1856.9586181640625,1979.62451171875
55,"Kutsal Yasa, zayıflıkları olan insanları başkâhin atamaktadır. Ama Yasa'dan sonra gelen ant sözü, sonsuza dek yetkin kılınmış olan Oğul'u başkâhin atamıştır.",1375.35302734375,929.5885620117188,798.79248046875,697.5033569335938,584.593505859375,678.9560546875,516.4984741210938,482.11749267578125,484.94720458984375,474.01348876953125
56,"Yeni iş ortağınız elinizi sıkabilir, sizinle kutlama yapabilir, yemeğe çıkabilir ve sonra bir kızgınlık ifadesi sergileyebilir.",1475.8909912109375,1424.9788818359375,769.6431274414062,799.9775390625,920.1707153320312,725.5975952148438,553.2561645507812,526.8082885742188,522.996337890625,460.5401611328125
57,Ne dediğini duydun.,158.10299682617188,130.9751434326172,119.54938507080078,57.456748962402344,113.2308120727539,67.18544006347656,33.437530517578125,44.9858512878418,35.01882553100586,37.43642807006836
58,"‹‹Kendilerine, ‹Siz halkım değilsiniz› denilen yerde, Yaşayan Tanrının çocukları diye adlandırılacaklar.››",1887.92822265625,1468.3001708984375,417.2737121582031,326.749755859375,357.0002746582031,288.97406005859375,179.35964965820312,158.82606506347656,117.44540405273438,111.71868133544922
59,"dedi. ""Peki. Mezun olunca tamamen bunun üzerinde çalışacaksınız herhalde"".",1455.4356689453125,893.6901245117188,622.1755981445312,631.8218383789062,418.5011901855469,392.1866760253906,332.9787902832031,319.73919677734375,324.75811767578125,319.3430480957031
60,Gölü aşıp Ginnesarda karaya çıktılar.,8537.9453125,6073.39892578125,6663.7626953125,4505.67724609375,5371.16650390625,4876.05224609375,3635.0341796875,3627.443359375,3472.8173828125,3437.523681640625
61,- Mecburuz.,297.12921142578125,126.93475341796875,213.25390625,95.79953002929688,124.2552719116211,123.31536865234375,49.01353454589844,61.41847229003906,60.288055419921875,57.5980224609375
62,"55,000 dolar. Ve bu inanılmaz bir miktar.",197.37326049804688,122.86013793945312,87.92119598388672,102.2404556274414,86.86075592041016,78.72689819335938,65.28743743896484,62.561519622802734,56.610652923583984,56.57931900024414
63,Geri gelecek mi?,97.7411880493164,65.42394256591797,48.74665069580078,95.09880065917969,57.43804168701172,59.60838317871094,30.512535095214844,37.79360580444336,31.580881118774414,29.081317901611328
64,Yani diyorum ki: Girişimcilik neyin üzerinde olduğudur.,1176.5262451171875,974.1478881835938,640.1917114257812,759.044921875,493.6011657714844,507.2756042480469,361.14251708984375,391.81280517578125,353.0977783203125,404.29461669921875
65,"Dünya da dünyasal tutkular da geçer, ama Tanrının isteğini yerine getiren sonsuza dek yaşar.",1108.25341796875,444.8763732910156,386.921142578125,376.91162109375,297.90692138671875,276.645263671875,253.75912475585938,225.06204223632812,239.3383026123047,226.9778289794922
66,"Onun yanına giren melek, ‹‹Selam, ey Tanrının lütfuna erişen kız! Rab seninledir›› dedi.",578.1055297851562,178.54832458496094,141.77554321289062,123.2757339477539,157.66702270507812,83.46461486816406,76.04810333251953,74.00961303710938,61.20954513549805,61.850494384765625
67,"İsa dedi ki, ‹‹Bu ev bugün kurtuluşa kavuştu. Çünkü bu adam da İbrahimin oğludur.",193.442138671875,109.62138366699219,96.36714172363281,93.85565948486328,95.03837585449219,80.9490737915039,69.45633697509766,51.874717712402344,45.737037658691406,51.22071838378906
68,- Ben çekerim.,133.8929901123047,68.02104949951172,66.55366516113281,51.70458984375,28.375652313232422,29.363311767578125,26.513080596923828,21.84035301208496,25.946340560913086,24.026208877563477
69,Doğru olanı yapmayan ve kardeşini sevmeyen kişi Tanrıdan değildir. İşte Tanrının çocuklarıyla İblisin çocukları böyle ayırt edilir.,909.4048461914062,595.7345581054688,537.7719116210938,532.755615234375,546.129150390625,424.9106750488281,314.10064697265625,294.3315124511719,266.3743591308594,271.14959716796875
70,"Böylece kilise tarafından gönderilenler, öteki uluslardan olanların Tanrıya nasıl döndüğünü anlata anlata Fenike ve Samiriye bölgelerinden geçerek bütün kardeşlere büyük sevinç verdiler.",3972.426025390625,2156.954833984375,1553.5902099609375,1675.617919921875,2130.50830078125,1817.3895263671875,1702.3297119140625,1435.955322265625,1375.2193603515625,1535.1683349609375
71,"‹‹O vakit doğru kişiler Ona şu karşılığı verecek: ‹Ya Rab, seni ne zaman aç görüp doyurduk, susuz görüp su verdik?",1164.8804931640625,889.0576782226562,690.5537109375,631.0151977539062,566.8050537109375,586.4158325195312,571.0492553710938,481.9278564453125,493.8106994628906,494.7759094238281
72,"Ve şunu söyleyeceğim ki bence doğru tepe noktası bu değil,",519.3330078125,594.7216796875,414.9627380371094,328.558837890625,310.83599853515625,257.1922302246094,245.04232788085938,303.43487548828125,216.96034240722656,227.97576904296875
73,Neyi koruyacağız?,288.9152526855469,351.58367919921875,121.00164031982422,98.31562042236328,213.34646606445312,115.71162414550781,130.7205352783203,133.217041015625,152.2056121826172,158.60498046875
74,"Bak, yavaş yavaş yapsaydım omuzunda olurdu.",972.7001953125,472.30194091796875,443.4209899902344,345.8463134765625,314.35565185546875,354.53216552734375,265.41583251953125,277.4680480957031,224.4291229248047,232.00816345214844
75,Burada açık bir ders var. Bu da; internet Bay Su Sıçratan Pantolon'u seviyor.,986.09814453125,695.6439208984375,526.7120971679688,414.1473388671875,362.0242614746094,398.2200927734375,294.4998474121094,257.4411926269531,296.5534362792969,303.7545166015625
76,"Ve kesinlikle emindim ki, demokrasi ve bizim topluma mükemmel olacaktı.",556.606689453125,742.4590454101562,604.2568359375,601.0922241210938,652.0934448242188,616.4918212890625,724.6688232421875,633.2789916992188,705.7232666015625,672.4983520507812
77,Kimsenin haberi yoktu -- herkes tahta çizme zannetti.,2558.920166015625,1644.9404296875,1576.3486328125,1553.187255859375,1324.5574951171875,1366.3253173828125,932.786865234375,1034.84423828125,988.1824340820312,877.95263671875
78,Böyle bir projeyle herkesin neler yaptığını görmek ilginç olurdu.,544.4546508789062,339.3330383300781,256.0233154296875,239.64024353027344,199.50396728515625,181.9081268310547,159.06912231445312,141.1519775390625,125.49900817871094,120.4491195678711
79,"Ona, ‹‹Nerede hazırlık yapmamızı istersin?›› diye sordular.",339.84228515625,185.3681640625,101.37102508544922,146.05169677734375,60.64421844482422,75.27835845947266,69.75482177734375,73.57481384277344,73.2724838256836,71.08277130126953
80,"Petrus onu izleyerek dışarı çıktı. Ama meleğin yaptığının gerçek olduğunu anlamıyor, bir görüm gördüğünü sanıyordu.",1608.7886962890625,859.0036010742188,549.4427490234375,552.6502685546875,401.5205993652344,341.1502685546875,359.4715270996094,353.97235107421875,317.15582275390625,290.1507568359375
81,"Sekizinci gün, çocuğu sünnet etme zamanı gelince, Ona İsa adı verildi. Bu, Onun anne rahmine düşmesinden önce meleğin kendisine verdiği isimdi.",1247.3868408203125,468.1302185058594,294.21923828125,283.92095947265625,245.84754943847656,210.12588500976562,213.34767150878906,186.38034057617188,165.5707244873047,164.195068359375
82,Bakar mısınız?,717.9837646484375,106.98054504394531,169.04977416992188,167.25350952148438,122.20184326171875,88.0070571899414,66.67999267578125,60.993709564208984,78.70118713378906,64.22920227050781
83,"Ama inanmayan Yahudiler, öteki uluslardan olanları kardeşlere karşı kışkırtarak zihinlerini bulandırdılar.",2097.114013671875,519.2701416015625,396.88568115234375,448.82891845703125,504.21893310546875,436.2163391113281,635.1663818359375,500.4472961425781,467.2981262207031,475.5055847167969
84,bir panelin arkasında gizleniyordu -- ve kahkaha atıp birbirlerine sarıldılar ve kaçtılar.,1427.086181640625,2195.95068359375,1439.4405517578125,1143.9708251953125,703.88623046875,701.3895263671875,820.9921875,841.0965576171875,724.5780029296875,718.619873046875
85,KIPP'in yaptığı bir çok muhteşem işten de bahsetti. Kenar mahalle çocuklarını alıp üniversite için hazırlamışlar.,1379.34619140625,1294.1444091796875,961.9195556640625,967.51513671875,872.5283813476562,515.6912841796875,530.8638305664062,581.3963623046875,530.8253784179688,481.9736328125
86,Benimle alay ediyor olmalısınız.,571.4439697265625,208.5218963623047,120.77889251708984,145.03671264648438,115.52335357666016,80.3835678100586,119.04730987548828,88.94303131103516,91.00247192382812,75.48748779296875
87,Gelir dağılımı herkesi daha iyi hale getirecektir - sadece fakir insanları değil - çünkü seçme fazlalığı bizi hasta ediyor.,1503.07470703125,1410.8355712890625,753.380859375,642.396484375,658.0652465820312,486.1766662597656,348.9494323730469,395.2933349609375,352.0794372558594,342.9164123535156
88,Ve sadece 2007'de-- ve eminim ki daha yakın tarihlere ait veriler de vardır--- sadece İngilizceye 1.3 milyon sayfalık çeviri yapılmıştır.,727.1624755859375,579.7413940429688,376.00616455078125,321.43939208984375,252.27023315429688,172.0083465576172,154.42971801757812,134.2614288330078,132.49591064453125,131.65452575683594
89,- Senin sorunun ne?,142.26638793945312,69.52154541015625,39.45602035522461,19.514312744140625,16.20438003540039,15.649950981140137,18.178133010864258,16.778684616088867,15.313459396362305,14.444632530212402
90,"‹Yaptıklarını biliyorum. İşte önüne kimsenin kapayamayacağı açık bir kapı koydum. Gücünün az olduğunu biliyorum; yine de sözüme uydun, adımı yadsımadın.",994.6116333007812,673.3984985351562,582.4252319335938,529.5360717773438,433.14459228515625,406.95062255859375,334.9437255859375,295.40106201171875,249.97427368164062,254.26943969726562
91,Televizyon izlerler.Başka şeyler yaparlar.'',3263.218994140625,3310.0771484375,2118.572509765625,2988.082275390625,5663.935546875,5068.150390625,2978.0966796875,3441.0986328125,2899.32373046875,3031.440673828125
92,Onu tanıyor musun?,87.49331665039062,16.22905731201172,18.95026206970215,23.619596481323242,18.517526626586914,20.957801818847656,18.148344039916992,17.248750686645508,19.496898651123047,19.591218948364258
93,- Teşekkürler efendim.,50.34516525268555,90.56680297851562,32.52193069458008,37.5479736328125,40.46669387817383,37.42904281616211,23.89914894104004,25.681093215942383,25.1966495513916,25.2568302154541
94,Aşağılandığında adalet Ondan esirgendi. Onun soyunu kim anacak? Çünkü yeryüzündeki yaşamına son verildi.››,3860.55029296875,2234.791259765625,1378.8812255859375,1017.7723999023438,802.8643188476562,731.329345703125,509.02044677734375,419.68304443359375,386.9947814941406,392.6598815917969
95,"Bu normal bir aile, arkadaşlar.",144.30348205566406,345.30450439453125,160.96949768066406,85.25125885009766,117.54031372070312,130.5205841064453,117.1247329711914,113.81733703613281,92.44242858886719,80.50432586669922
96,Mesajınızı okuyun ve içerdiği web bağlantısını tıklayın.,2342.6923828125,1249.3511962890625,850.1171875,448.361328125,513.0203247070312,481.9048767089844,358.7843017578125,491.560791015625,347.885986328125,402.4329833984375
97,"diyor. Başlamadan önce, yapacağım şey size amacımı açıklamak olacak, amacım ""Yakaladım Seni"" oyununu öğretmek değil.",2502.80224609375,1492.954345703125,1060.275634765625,959.19287109375,826.8905639648438,586.6082763671875,528.380615234375,513.2677001953125,472.17449951171875,499.94305419921875
98,"Bundan sonra güneşte duran bir melek gördüm. Göğün ortasında uçan bütün kuşları yüksek sesle çağırdı: ‹‹Kralların, komutanların, güçlü adamların, atlarla binicilerinin, özgür köle, küçük büyük, hepsinin etini yemek için toplanın, Tanrının büyük şölenine gelin!››",1031.9639892578125,715.9052124023438,365.9439392089844,324.4223937988281,216.86671447753906,205.659423828125,228.70396423339844,204.83436584472656,184.9224090576172,182.5385284423828
99,"Bruce Wayne, Lex Luthor'ın evine gizlice giremez ama.",1543.885009765625,837.6367797851562,592.9371948242188,325.85028076171875,287.0784912109375,336.9859313964844,189.53199768066406,163.1556396484375,157.92059326171875,151.6426544189453
100,"Ve inanın ki, bu derste bütün klişeler vardı, yerde bağdaş kurarak oturmak, tütsü, bitki çayı, vejeteryanlar, her şey ama annem gidiyordu ve ben de onunla beraber gitmek istedim.",768.6011962890625,564.04150390625,460.4749450683594,388.3492126464844,361.77886962890625,287.0220947265625,259.35638427734375,243.0439453125,226.16355895996094,212.4490509033203
101,"Ama tam olarak bir gün sonra onlar dedi ki, ''İki hafta içerisinde başlayabilir misiniz?'' (Kahkahalar)",198.19850158691406,152.3319549560547,89.65506744384766,92.17617797851562,52.92125701904297,56.79794692993164,42.60267639160156,49.89429473876953,44.821006774902344,43.556514739990234
102,"Gerçekte, sadece iyi niyetli olarak sürece müdahale ediyordum.",750.4215087890625,1183.272705078125,605.00732421875,678.0311279296875,461.56683349609375,521.0701293945312,554.73583984375,574.0839233398438,591.9529418945312,562.0418701171875
103,Helal Belgelendirme,2833.60498046875,1311.1319580078125,949.7667846679688,862.6358032226562,435.15496826171875,314.56121826171875,316.6079406738281,189.5486297607422,145.42715454101562,158.09410095214844
104,"Onikilerden biri, ‹‹İkiz›› diye anılan Tomas, İsa geldiğinde onlarla birlikte değildi.",300.8876953125,258.43792724609375,187.5979461669922,178.08058166503906,181.6795196533203,141.38653564453125,123.43484497070312,155.80027770996094,144.4052734375,155.7545166015625
105,Telif Hakkı © 2020 Kastamonu Üniversitesi. Bütün Hakları Saklıdır,1436.6778564453125,969.0239868164062,677.1435546875,765.8624877929688,476.11273193359375,403.7313232421875,375.2579650878906,322.99505615234375,279.22052001953125,291.9865417480469
106,"Şey, sana inanmıyorum.",154.04251098632812,164.8083953857422,140.03890991210938,79.16508483886719,89.46533203125,73.47762298583984,54.76100540161133,48.13463592529297,47.2222900390625,47.70235061645508
107,- Bir şey söyledi mi?,40.05690002441406,18.52189826965332,21.45526885986328,12.55028247833252,10.781222343444824,10.463071823120117,9.784622192382812,7.48206901550293,7.935722827911377,8.169742584228516
108,Dinlememizi kaybediyoruz.,1448.1888427734375,1676.6929931640625,681.4639282226562,1372.1817626953125,1218.9554443359375,632.2684326171875,894.6832275390625,1024.5020751953125,1428.93359375,1343.0452880859375
109,Deniyorum.,154.98550415039062,137.67755126953125,316.1588134765625,302.02239990234375,343.0724792480469,514.05908203125,499.2217712402344,358.31927490234375,417.7252502441406,405.11187744140625
110,Hazır mısınız?,165.4991912841797,48.580711364746094,43.82863998413086,53.79720687866211,40.351409912109375,36.40419006347656,40.7123908996582,33.748443603515625,41.608238220214844,42.865867614746094
